"name","position","perf.index","std.w","std.sv","std.k","std.era","std.whip","std.r","std.hr","std.rbi","std.sb","std.obp","std.w.obp","w","sv","k","era","whip","r","hr","rbi","sb","obp","w.obp"
"84","Andrew Cashner","SP",9.51097199121405,3.77730206100633,-0.036909560283025,3.63908743366922,1.72256311919407,1.67436428720366,NA,NA,NA,NA,NA,NA,9.66666666666667,0,132.333333333333,3.39666666666667,1.19333333333333,NA,NA,NA,NA,NA,NA
"85","Greg Holland","RP",9.41742272061031,1.15555319938503,4.3539786678422,2.31629387467857,3.08933828296908,2.63986354646124,NA,NA,NA,NA,NA,NA,3.66666666666667,37.5,90,2.27333333333333,1.01,NA,NA,NA,NA,NA,NA
"86","James Paxton","SP",9.39861112835746,3.92295477554085,-0.036909560283025,3.48285197394592,1.35754898050044,1.13017379562212,NA,NA,NA,NA,NA,NA,10,0,127.333333333333,3.69666666666667,1.29666666666667,NA,NA,NA,NA,NA,NA
"87","Cody Allen","RP",9.25254256102891,1.30120591391954,4.41252384421721,2.1288113230106,2.26602861458235,1.79724601110917,NA,NA,NA,NA,NA,NA,4,38,84,2.95,1.17,NA,NA,NA,NA,NA,NA
"88","Nathan Eovaldi","SP",9.25166096049597,3.77730206100633,-0.036909560283025,3.45160488200126,0.664022116982558,1.04240113568961,NA,NA,NA,NA,NA,NA,9.66666666666667,0,126.333333333333,4.26666666666667,1.31333333333333,NA,NA,NA,NA,NA,NA
"89","Michael Wacha","SP",9.1813609453628,3.63164934647182,-0.036909560283025,3.54534615783524,1.77123167101988,1.67436428720366,NA,NA,NA,NA,NA,NA,9.33333333333333,0,129.333333333333,3.35666666666667,1.19333333333333,NA,NA,NA,NA,NA,NA
"90","David Robertson","RP",8.992460859685,1.15555319938503,4.2954334914672,2.17047411227015,2.28630717784311,2.0956730548797,NA,NA,NA,NA,NA,NA,3.66666666666667,37,85.3333333333333,2.93333333333333,1.11333333333333,NA,NA,NA,NA,NA,NA
"91","Steve Cishek","RP",8.96890254078513,1.44685862845406,4.2954334914672,1.82675610087888,2.37958856884259,1.86746413905518,NA,NA,NA,NA,NA,NA,4.33333333333333,37,74.3333333333333,2.85666666666667,1.15666666666667,NA,NA,NA,NA,NA,NA
"92","Edinson Volquez","SP",8.94507390465113,3.4859966319373,-0.036909560283025,3.49326767126081,0.526127886809412,0.585983304040574,NA,NA,NA,NA,NA,NA,9,0,127.666666666667,4.38,1.4,NA,NA,NA,NA,NA,NA
"93","Koji Uehara","RP",8.93671154365008,1.59251134298858,4.00270760959218,1.80592470624911,2.77704840875342,3.07872684612378,NA,NA,NA,NA,NA,NA,4.66666666666667,34.5,73.6666666666667,2.53,0.926666666666667,NA,NA,NA,NA,NA,NA
"94","Henderson Alvarez","SP",8.86954274902791,4.06860749007537,-0.036909560283025,2.71209037264428,1.43866323354347,1.25305551952763,NA,NA,NA,NA,NA,NA,10.3333333333333,0,102.666666666667,3.63,1.27333333333333,NA,NA,NA,NA,NA,NA
"95","Carlos Martinez","RP",8.82346877196453,3.4859966319373,-0.036909560283025,3.38911069811194,1.3697161184569,1.18283739158162,NA,NA,NA,NA,NA,NA,9,0,124.333333333333,3.68666666666667,1.28666666666667,NA,NA,NA,NA,NA,NA
"96","Mark Melancon","RP",8.8105959589233,1.15555319938503,4.52961419696721,1.55594797069182,2.82166124792709,2.46431822659623,NA,NA,NA,NA,NA,NA,3.66666666666667,39,65.6666666666667,2.49333333333333,1.04333333333333,NA,NA,NA,NA,NA,NA
"97","Tanner Roark","SP",8.8013376638879,3.77730206100633,-0.036909560283025,2.96206710820157,1.63739315349889,1.77969147912267,NA,NA,NA,NA,NA,NA,9.66666666666667,0,110.666666666667,3.46666666666667,1.17333333333333,NA,NA,NA,NA,NA,NA
