"","crashDates","crashLocation","crashOperator","crashType","crashOutcome","crashF","crashP","Prop","crashYear"
"400",1956-02-13,"Frobisher Bay, Canada","Maritime Central Airways
","Bristol 170 Freighter 31","2/2(0)",2,2,1,"1956"
"401",1956-02-14,"Fort Chimo, Quebec, Canada","Spartan Air Services
","Douglas C-47-DL","2/3(0)",2,3,0.67,"1956"
"402",1956-02-17,"Niles, California","Military - U.S. Marine Corps
","Douglas R5D2","40/40(0)",40,40,1,"1956"
"403",1956-02-18,"Zurrieg, Malta","Scottish Airlines
","Avro 685 York C-1","50/50(0)",50,50,1,"1956"
"404",1956-02-20,"Cairo, Egypt","Transport Aerien Intercontinentaux (France)
","Douglas DC-6B","52/64(0)",52,64,0.81,"1956"
"405",1956-02-24,"Aleppo, Syria","Syrian Airways
","Douglas DC-3","19/19(0)",19,19,1,"1956"
"406",1956-02-25,"Jalkot, Pakistan","Pakistan International Airlines
","Douglas C-47B","3/3(0)",3,3,1,"1956"
"407",1956-03-21,"Tezpur, India","Indian Airlines
","Douglas DC-3","2/21(0)",2,21,0.1,"1956"
"408",1956-03-28,"Largs, England","Starways
","Douglas C-47B","1/3(0)",1,3,0.33,"1956"
"409",1956-03-31,"Indapur, India","National Air Operators
","Douglas C-47A","3/3(0)",3,3,1,"1956"
"410",1956-03-31,"Korat ,Thailand","Military - Royal Thai Air Force
","Douglas C-47A","19/19(0)",19,19,1,"1956"
"411",1956-04-01,"Pittsburgh, Pennsylvania","Trans World Airlines
","Martin 404","22/36(0)",22,36,0.61,"1956"
"412",1956-04-02,"Seattle, Washington","Northwest Orient Airlines
","Boeing 377 Stratocruiser 10-30","5/38(0)",5,38,0.13,"1956"
"413",1956-04-09,"Skilak Lake, Alaska","Cordova Airlines
","Aero Commander  520","6/6(0)",6,6,1,"1956"
"414",1956-04-18,"Parintins, Brazil","Panair do Brasil
","Consolidated PBY-5A Catalina","3/12(0)",3,12,0.25,"1956"
"415",1956-04-30,"London, England","Scottish Airlines
","Avro 685 York C-1","2/54(0)",2,54,0.04,"1956"
"416",1956-05-15,"Orleans, Ontario, Canada","Military - Royal Canadian Air Force
","CF-100 Mark V","2/2(13)",2,2,1,"1956"
"417",1956-05-15,"Kathmandu, Nepal","Indian Airlines
","Douglas DC-3","14/31(1)",14,31,0.45,"1956"
"418",1956-05-24,"Guatemala City, Guatemala","Aviateca
","Douglas C-47-DL (DC-3)","30/31(0)",30,31,0.97,"1956"
"419",1956-06-13,"Over North Carolina","Piedmont
","Douglas DC-3","1/?(0)",1,NA,NA,"1956"
"420",1956-06-20,"Asbury Park, New Jersey","Linea Aeropostal Venezolana
","Lockheed 1049E-55 Super Constellation","74/74(0)",74,74,1,"1956"
"421",1956-06-24,"Kano, Nigeria","British Overseas Airways
","Canadair C-4 Argonaut","32/45(0)",32,45,0.71,"1956"
"422",1956-06-30,"Grand Canyon, Arizona","United Air Lines / Trans World Airlines
","Douglas DC-7 / Lockheed S Constellation","128/128(0)",128,128,1,"1956"
"423",1956-07-09,"Flat Rock, Michigan","Trans Canada Air Lines
","Vickers Viscount","1/35(0)",1,35,0.03,"1956"
